ETag,方向,經度,緯度
01F3227N,0,120.25,23.014172
01H0579N,0,121.23298,24.983667
01F3640N,0,120.332085,22.658892
01F2249N,0,120.48488,23.830568
01F0880N,0,121.01903,24.848719
01F0633N,0,121.195595,24.949282
01F1621N,0,120.69733,24.301186
01H0608N,0,121.21162,24.965878
01F0956N,0,121.00372,24.783943
01F0376N,0,121.39731,25.058666
01F1774N,0,120.63561,24.184591
01F2156N,0,120.49765,23.91277
01F2011N,0,120.52279,24.04064
01F0099N,0,121.659424,25.076044
01F3590N,0,120.32818,22.703363
01F0293N,0,121.47296,25.074797
01F0213N,0,121.55036,25.073053
01F0467N,0,121.317764,25.047075
01F3676N,0,120.33622,22.62782
01F2674N,0,120.3777,23.469402
01F1572N,0,120.72085,24.339148
01F2472N,0,120.443115,23.639557
01F3736N,0,120.32315,22.581932
01H0174N,0,121.58804,25.065544
01H0271N,0,121.49402,25.075256
01F2394N,0,120.474915,23.702602
01F2322N,0,120.469345,23.766329
01F2714N,0,120.361565,23.436367
01F1906N,0,120.56813,24.113571
01F0750N,0,121.11173,24.893436
01F0532N,0,121.2662,25.012943
01H0208N,0,121.555016,25.072262
01F3185N,0,120.25302,23.051311
01F2603N,0,120.40559,23.52674
01F2930N,0,120.26577,23.272589
01F0664N,0,121.17692,24.929544
01F1389N,0,120.781906,24.48592
01H0447N,0,121.33207,25.059242
01F1123N,0,120.90427,24.679317
01F0699N,0,121.15976,24.903297
01F1465N,0,120.775734,24.420513
01F3126N,0,120.24768,23.104816
01F3083N,0,120.23327,23.14075
01H0200N,0,121.562515,25.070993
01H0333N,0,121.435135,25.068148
01F3696N,0,120.33961,22.609428
01F1960N,0,120.52785,24.085623
01F0557N,0,121.24772,24.998583
01F1664N,0,120.691956,24.262648
01F3286N,0,120.249825,22.960903
01F0584N,0,121.22894,24.980558
01F0233N,0,121.5307,25.073019
01F3460N,0,120.31273,22.818039
01F1699N,0,120.68662,24.231537
01F2425N,0,120.46228,23.677376
01F0147N,0,121.61352,25.065643
01F0256N,0,121.50911,25.078068
01F1802N,0,120.62193,24.163706
01F3366N,0,120.27215,22.892618
01F0413N,0,121.36356,25.064968
01F2866N,0,120.298706,23.320993
01F0681N,0,121.16759,24.917967
01F0511N,0,121.28173,25.025953
01F3019N,0,120.23642,23.197287
01F0979N,0,120.99989,24.764414
01F1292N,0,120.83893,24.550442
01F2827N,0,120.32219,23.34747
01F3398N,0,120.28499,22.867418
01F0017N,0,121.72591,25.109568
01F0029N,0,121.71786,25.102837
01F0061N,0,121.69364,25.088272
01F2089N,0,120.50612,23.971794
01F3252N,0,120.24818,22.991814
01F1839N,0,120.61725,24.130768
01F0340N,0,121.428055,25.068
01F0928N,0,121.01031,24.808453
01F0492N,0,121.29553,25.036482
01F1045N,0,120.9519,24.72713
01F0155N,0,121.6059,25.064753
01F2514N,0,120.43542,23.60199
01F3559N,0,120.33429,22.730904
01F0880S,1,121.01903,24.848719
01F1621S,1,120.69733,24.301186
01F0147S,1,121.61352,25.065643
01F2322S,1,120.469345,23.766329
01F0492S,1,121.29553,25.036482
01F2866S,1,120.298706,23.320993
01F2827S,1,120.32219,23.34747
01F0339S,1,121.428764,25.06824
01F0681S,1,121.16759,24.917967
01F2714S,1,120.361565,23.436367
01H0163S,1,121.59873,25.064007
01F1699S,1,120.68662,24.231537
01F3640S,1,120.332085,22.658892
01F3676S,1,120.33622,22.62782
01F0557S,1,121.24772,24.998583
01F3460S,1,120.31273,22.818039
01H0334S,1,121.43328,25.068727
01F0413S,1,121.36356,25.064968
01F1572S,1,120.72085,24.339148
01F1664S,1,120.691956,24.262648
01F3019S,1,120.23642,23.197287
01H0579S,1,121.23253,24.984095
01F1802S,1,120.62193,24.163706
01F3366S,1,120.27215,22.892618
01F2472S,1,120.443115,23.639557
01F0699S,1,121.15976,24.903297
01F2425S,1,120.46228,23.677376
01F3083S,1,120.23327,23.14075
01F0376S,1,121.39731,25.058666
01F0950S,1,121.00525,24.789621
01F1389S,1,120.781906,24.48592
01F1774S,1,120.63561,24.184591
01F2011S,1,120.52279,24.04064
01F1839S,1,120.61725,24.130768
01F1123S,1,120.90427,24.679317
01F2156S,1,120.49765,23.91277
01F0264S,1,121.50139,25.077463
01F1960S,1,120.52785,24.085623
01F3227S,1,120.25,23.014172
01F0293S,1,121.47296,25.074797
01F2089S,1,120.50612,23.971794
01F3561S,1,120.33376,22.728956
01F3590S,1,120.32818,22.703363
01F0155S,1,121.6059,25.064753
01F0099S,1,121.65948,25.076263
01F2674S,1,120.3777,23.469402
01F0511S,1,121.28173,25.025953
01F2930S,1,120.26577,23.272589
01F3185S,1,120.25302,23.051311
01F2603S,1,120.40559,23.52674
01F0664S,1,121.17692,24.929544
01H0610S,1,121.20987,24.96525
01F1465S,1,120.775734,24.420513
01F0248S,1,121.5166,25.077631
01F3286S,1,120.249825,22.960903
01F2249S,1,120.48488,23.830568
01F2514S,1,120.43542,23.60199
01F1906S,1,120.56813,24.113571
01H0447S,1,121.331856,25.060125
01F3686S,1,120.33665,22.61912
01F3252S,1,120.24818,22.991814
01F0750S,1,121.11173,24.893436
01F3126S,1,120.24768,23.104816
01F1045S,1,120.9519,24.72713
01F0061S,1,121.69364,25.088272
01F0182S,1,121.58023,25.068987
01F3398S,1,120.28499,22.867418
01F0029S,1,121.71786,25.102837
01F0633S,1,121.195595,24.949282
01F1292S,1,120.83893,24.550442
01F0928S,1,121.01031,24.808453
01F0467S,1,121.317764,25.047075
01F0980S,1,120.99886,24.763586
01F0005S,1,121.731766,25.118786
01F0017S,1,121.72591,25.109568
01F2394S,1,120.474915,23.702602
01F0532S,1,121.2662,25.012943
01H0305S,1,121.46066,25.075554
01H0206S,1,121.55774,25.07275
01F0578S,1,121.2332,24.984413
